variant_id,context_window,minimum_frequency,minimum_absolute_valence,maximum_absolute_context_weight,lexicon_size,positive_terms,negative_terms,train_context_token_count,train_context_vocabulary_size,selected_feature_count,selected_features,posts_with_any_ontology_feature,overall_activation_pct,posts_with_selected_feature,selected_activation_pct,rdf_triple_count,concept_assertion_count,nonzero_activation_count,nonzero_selected_activations,selected_trace_rate_pct,shacl_conforms,shacl_validation_result_count,variant_dir,variant_status,error,reused_from_pilot
w3_f8_v1p0_c2p0,3,8,1.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f8_v1p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f8_v1p0_c2p0/lexicon_manifest.json,
w3_f8_v1p5_c2p0,3,8,1.5,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f8_v1p5_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f8_v1p5_c2p0/lexicon_manifest.json,
w3_f8_v2p0_c2p0,3,8,2.0,2.0,,,,,,,,,,,,,,,,,False,,results/sensitivity/w3_f8_v2p0_c2p0,invalid,Lexicon manifest lacks combined positive/negative entries: JOWS/revisions/campaign_f123_20260914/package/results/sensitivity/w3_f8_v2p0_c2p0/lexicon_manifest.json,
w5_f1_v0p25_c2p0,5,1,0.25,2.0,275.0,153.0,122.0,5253.0,2524.0,10.0,ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_domain_density;ont_Futuro_Negativo;ont_Robot_Negativo;ont_total_positivo_mentions;ont_Innovacion_Positivo;ont_InteligenciaArtificial_Positivo;ont_Tecnologia_Positivo;ont_Etica_Negativo,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9548.0,2476.0,100.0,True,0.0,results/sensitivity/w5_f1_v0p25_c2p0,passed,,
w5_f1_v0p5_c2p0,5,1,0.5,2.0,260.0,144.0,116.0,5253.0,2524.0,10.0,ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_domain_density;ont_Futuro_Negativo;ont_Robot_Negativo;ont_total_positivo_mentions;ont_Innovacion_Positivo;ont_Etica_Negativo;ont_InteligenciaArtificial_Positivo;ont_Tecnologia_Positivo,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9551.0,2473.0,100.0,True,0.0,results/sensitivity/w5_f1_v0p5_c2p0,passed,,
w5_f1_v1p0_c2p0,5,1,1.0,2.0,227.0,127.0,100.0,5253.0,2524.0,10.0,ont_total_negativo_mentions;ont_domain_density;ont_InteligenciaArtificial_Negativo;ont_Futuro_Negativo;ont_Robot_Negativo;ont_total_positivo_mentions;ont_Etica_Negativo;ont_Innovacion_Positivo;ont_InteligenciaArtificial_Positivo;ont_Tecnologia_Positivo,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9519.0,2408.0,100.0,True,0.0,results/sensitivity/w5_f1_v1p0_c2p0,passed,,
w5_f1_v1p5_c2p0,5,1,1.5,2.0,158.0,90.0,68.0,5253.0,2524.0,8.0,ont_domain_density;ont_total_negativo_mentions;ont_InteligenciaArtificial_Negativo;ont_Robot_Negativo;ont_Innovacion_Positivo;ont_Tecnologia_Negativo;ont_total_positivo_mentions;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9442.0,2167.0,100.0,True,0.0,results/sensitivity/w5_f1_v1p5_c2p0,passed,,
w5_f1_v2p0_c2p0,5,1,2.0,2.0,78.0,36.0,42.0,5253.0,2524.0,8.0,ont_total_negativo_mentions;ont_domain_density;ont_InteligenciaArtificial_Negativo;ont_Robot_Negativo;ont_Innovacion_Neutro;ont_Etica_Negativo;ont_Datos_Negativo;ont_Tecnologia_Neutro,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9212.0,1860.0,100.0,True,0.0,results/sensitivity/w5_f1_v2p0_c2p0,passed,,
w5_f2_v0p25_c2p0,5,2,0.25,2.0,108.0,69.0,39.0,5253.0,2524.0,8.0,ont_total_negativo_mentions;ont_domain_density;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Robot_Negativo;ont_Innovacion_Neutro;ont_total_positivo_mentions;ont_Tecnologia_Positivo,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9430.0,1997.0,100.0,True,0.0,results/sensitivity/w5_f2_v0p25_c2p0,passed,,
w5_f2_v0p5_c2p0,5,2,0.5,2.0,103.0,68.0,35.0,5253.0,2524.0,8.0,ont_total_negativo_mentions;ont_domain_density;ont_InteligenciaArtificial_Negativo;ont_Etica_Negativo;ont_Robot_Negativo;ont_Innovacion_Neutro;ont_total_positivo_mentions;ont_Tecnologia_Positivo,1489.0,92.25526641883519,1408.0,87.2366790582404,14827.0,1901.0,9430.0,1997.0,100.0,True,0.0,results/sensitivity/w5_f2_v0p5_c2p0,passed,,
